farmer_id,age,gender,education,land_size_acres,annual_income,crop_type,state,district,region,is_member_fpo,has_taken_crop_insurance,eligible_pmfby,eligible_pmkisan,eligible_fpo_support
20,41,Female,Primary,4.57,16636.72,Wheat,Karnataka,Bengaluru,West,0,0,1,0,0
21,61,Male,Primary,3.6,400581.46,Wheat,Maharashtra,Nashik,North,0,0,0,0,0
22,47,Female,None,6.63,170689.94,Cotton,Gujarat,Rajkot,East,1,0,0,0,0
23,55,Male,Secondary,1.75,185081.64,Wheat,Bihar,Muzaffarpur,West,0,0,1,0,0
24,19,Female,Primary,7.31,174643.02,Cotton,Gujarat,Bhavnagar,North,1,1,0,0,0
25,38,Female,Secondary,9.82,254382.27,Cotton,Bihar,Purnia,South,0,1,0,0,0
26,50,Male,Higher,8.14,354224.79,Rice,Maharashtra,Nashik,South,1,1,0,0,1
27,29,Female,None,8.67,388212.93,Wheat,Karnataka,Belagavi,North,0,0,0,0,0
28,39,Female,None,3.92,202359.65,Sugarcane,Gujarat,Bhavnagar,South,0,0,0,0,0
29,61,Female,Secondary,3.59,334920.0,Cotton,Punjab,Jalandhar,West,1,0,0,0,1
30,42,Female,Higher,5.41,363135.28,Rice,Karnataka,Hubballi,North,0,0,0,0,0
31,66,Female,Higher,0.93,155489.49,Cotton,Maharashtra,Pune,North,0,0,0,0,0
32,44,Female,Primary,9.48,57344.52,Sugarcane,Gujarat,Vadodara,West,1,0,0,0,0
33,59,Female,None,1.87,448386.2,Sugarcane,Bihar,Purnia,West,0,0,0,0,0
34,45,Female,Higher,9.08,341786.83,Wheat,Punjab,Patiala,North,0,0,0,0,0
35,33,Male,Higher,1.29,327574.1,Cotton,Karnataka,Hubballi,South,0,0,0,0,0
36,32,Male,Primary,8.31,38862.23,Sugarcane,Karnataka,Mangaluru,East,0,0,0,0,0
37,64,Female,Primary,1.94,410757.8,Maize,Punjab,Ludhiana,South,1,1,0,0,0
38,68,Female,Secondary,0.86,287366.54,Sugarcane,Karnataka,Mysuru,South,1,1,0,0,1
39,61,Male,None,7.34,425463.36,Sugarcane,Maharashtra,Aurangabad,East,0,0,0,0,0
40,69,Female,Higher,3.16,487534.98,Cotton,Punjab,Amritsar,West,0,0,0,0,0
41,20,Male,Secondary,7.29,478979.16,Sugarcane,Maharashtra,Aurangabad,South,1,1,0,0,1
42,54,Male,None,5.77,429483.78,Rice,Punjab,Bathinda,North,0,1,0,0,0
43,68,Male,Secondary,1.53,15364.21,Sugarcane,Maharashtra,Mumbai,South,0,1,0,1,0
44,24,Female,None,9.36,444006.33,Maize,Bihar,Muzaffarpur,West,0,0,0,0,0
45,38,Female,None,4.8,46780.53,Sugarcane,Bihar,Muzaffarpur,North,0,1,0,0,0
46,26,Female,Higher,7.48,427085.05,Wheat,Karnataka,Hubballi,West,1,1,0,0,1
47,56,Male,None,5.26,147285.29,Cotton,Punjab,Patiala,North,1,0,0,0,0
48,35,Male,Primary,6.24,308933.49,Maize,Gujarat,Surat,West,0,0,0,0,0
49,21,Male,Higher,3.38,28653.43,Rice,Punjab,Bathinda,South,0,0,1,0,0
50,42,Female,Primary,2.4,387879.03,Sugarcane,Maharashtra,Nashik,West,0,1,0,0,0
51,31,Male,Secondary,5.65,64736.0,Sugarcane,Gujarat,Rajkot,East,0,0,0,0,0
52,67,Male,Secondary,4.68,211237.2,Rice,Karnataka,Mangaluru,South,0,0,1,0,0
53,26,Female,None,4.21,410548.54,Sugarcane,Karnataka,Mysuru,West,0,1,0,0,0
54,43,Male,None,6.89,350721.01,Wheat,Gujarat,Vadodara,South,1,0,0,0,0
55,19,Male,Primary,7.06,12960.92,Maize,Punjab,Amritsar,West,1,0,1,0,0
56,37,Female,Primary,0.94,207485.84,Sugarcane,Bihar,Muzaffarpur,West,0,1,0,0,0
57,45,Female,Primary,3.72,30544.48,Rice,Punjab,Ludhiana,South,0,1,1,0,0
58,64,Male,Secondary,4.41,340014.93,Rice,Gujarat,Rajkot,North,1,1,0,0,1
59,24,Female,Primary,1.42,484784.76,Maize,Punjab,Jalandhar,North,0,0,0,0,0
60,61,Male,Higher,2.74,331078.02,Wheat,Tamil Nadu,Tiruchirappalli,West,0,1,0,0,0
61,25,Female,Higher,0.99,119942.49,Maize,Maharashtra,Mumbai,East,0,1,0,1,0
62,64,Male,Secondary,9.96,184064.19,Sugarcane,Maharashtra,Aurangabad,East,0,1,0,0,0
63,52,Female,Primary,7.5,488558.77,Wheat,Tamil Nadu,Madurai,West,0,0,0,0,0
64,31,Male,Primary,1.33,119785.68,Wheat,Karnataka,Mysuru,West,1,0,1,1,0
65,34,Female,None,0.69,285149.25,Rice,Gujarat,Surat,South,0,0,0,0,0
66,53,Female,Higher,7.33,206222.37,Wheat,Maharashtra,Nashik,East,0,0,1,0,0
67,67,Female,Secondary,4.67,386474.5,Sugarcane,Karnataka,Mysuru,South,0,1,0,0,0
68,57,Female,Primary,7.97,435020.74,Sugarcane,Bihar,Muzaffarpur,North,0,0,0,0,0
69,21,Female,None,9.27,177010.26,Sugarcane,Karnataka,Hubballi,South,0,0,0,0,0
70,19,Female,Secondary,6.19,333594.22,Cotton,Maharashtra,Nashik,West,1,0,0,0,1
71,23,Female,Secondary,2.28,279033.37,Wheat,Gujarat,Rajkot,South,0,0,1,0,0
72,59,Male,Higher,7.93,146437.8,Wheat,Gujarat,Ahmedabad,South,1,0,1,0,1
73,21,Male,Primary,9.58,143250.99,Sugarcane,Karnataka,Belagavi,South,1,0,0,0,0
74,46,Female,Secondary,6.01,273929.51,Rice,Bihar,Muzaffarpur,West,1,0,1,0,1
75,35,Female,None,6.98,85461.41,Wheat,Tamil Nadu,Tiruchirappalli,West,0,0,1,0,0
76,43,Male,None,3.71,407296.85,Cotton,Maharashtra,Nagpur,East,0,0,0,0,0
77,61,Male,Secondary,4.12,43812.37,Wheat,Gujarat,Surat,South,0,0,1,0,0
78,51,Female,None,7.48,56341.5,Maize,Bihar,Gaya,North,0,0,1,0,0
79,27,Male,Secondary,9.31,177690.89,Cotton,Punjab,Amritsar,South,0,1,0,0,0
80,53,Male,None,6.48,67864.96,Rice,Tamil Nadu,Tiruchirappalli,North,1,0,1,0,0
81,31,Female,Secondary,8.0,243093.01,Cotton,Tamil Nadu,Madurai,East,1,1,0,0,1
82,48,Female,Secondary,2.13,205841.19,Cotton,Maharashtra,Mumbai,South,0,0,0,0,0
83,65,Female,Secondary,2.51,363686.8,Wheat,Bihar,Purnia,North,1,0,0,0,1
84,32,Male,None,5.55,476972.04,Cotton,Gujarat,Ahmedabad,South,0,0,0,0,0
85,25,Female,Secondary,2.18,379243.71,Sugarcane,Gujarat,Rajkot,South,0,1,0,0,0
86,31,Female,Higher,6.53,97929.84,Cotton,Punjab,Amritsar,East,0,0,0,0,0
87,40,Male,Secondary,3.27,468405.43,Wheat,Gujarat,Rajkot,North,0,0,0,0,0
88,57,Female,Primary,8.02,202145.38,Sugarcane,Bihar,Patna,North,0,1,0,0,0
89,38,Male,Primary,8.18,242352.79,Rice,Gujarat,Vadodara,West,0,0,1,0,0
90,33,Male,Higher,4.91,216572.36,Maize,Karnataka,Hubballi,North,0,1,1,0,0
91,62,Male,Secondary,2.22,147468.04,Cotton,Gujarat,Surat,South,0,0,0,0,0
92,35,Male,Primary,6.64,448571.7,Sugarcane,Maharashtra,Mumbai,East,0,0,0,0,0
93,64,Male,Secondary,9.93,172797.04,Sugarcane,Karnataka,Bengaluru,West,0,1,0,0,0
94,41,Male,Primary,6.41,293512.27,Rice,Gujarat,Ahmedabad,West,0,0,1,0,0
95,43,Female,None,0.84,127616.46,Rice,Gujarat,Vadodara,South,0,0,0,1,0
96,42,Female,None,0.66,400713.93,Maize,Gujarat,Ahmedabad,East,0,1,0,0,0
97,62,Female,Higher,3.54,389357.34,Maize,Karnataka,Hubballi,West,0,1,0,0,0
98,58,Male,Higher,2.36,155192.95,Wheat,Gujarat,Rajkot,East,0,0,1,0,0
99,46,Female,Secondary,8.22,343961.5,Maize,Tamil Nadu,Madurai,North,0,0,0,0,0
100,32,Male,Higher,8.53,354898.03,Maize,Gujarat,Rajkot,West,1,0,0,0,1
101,62,Female,Secondary,2.96,285630.59,Sugarcane,Tamil Nadu,Salem,West,0,1,0,0,0
102,18,Male,None,3.59,304293.21,Cotton,Karnataka,Hubballi,East,0,1,0,0,0
103,42,Female,None,2.74,291482.77,Cotton,Gujarat,Bhavnagar,West,0,1,0,0,0
104,24,Male,Primary,9.13,50113.56,Maize,Bihar,Patna,North,0,1,1,0,0
105,26,Female,Secondary,5.28,338430.02,Wheat,Maharashtra,Nashik,West,1,1,0,0,1
106,41,Male,None,6.73,240189.75,Wheat,Gujarat,Vadodara,South,0,0,1,0,0
107,18,Female,None,4.45,224844.07,Cotton,Maharashtra,Nagpur,West,0,0,0,0,0
108,61,Male,Secondary,6.49,431399.62,Rice,Bihar,Gaya,South,0,0,0,0,0
109,25,Female,Primary,4.17,21381.09,Sugarcane,Karnataka,Belagavi,West,0,0,0,0,0
110,41,Female,Primary,3.73,133144.31,Maize,Maharashtra,Aurangabad,West,1,0,1,0,0
111,28,Female,Primary,6.53,69487.71,Sugarcane,Gujarat,Rajkot,West,0,0,0,0,0
112,68,Male,Primary,6.12,27317.11,Maize,Tamil Nadu,Tiruchirappalli,East,0,0,1,0,0
113,34,Male,None,3.29,145081.73,Maize,Punjab,Jalandhar,West,0,1,1,0,0
114,25,Male,Secondary,1.92,494353.37,Cotton,Tamil Nadu,Salem,West,0,1,0,0,0
115,52,Male,Secondary,4.0,142412.29,Sugarcane,Bihar,Patna,North,0,0,0,0,0
116,52,Male,None,4.44,335215.85,Sugarcane,Punjab,Ludhiana,North,0,0,0,0,0
117,50,Female,None,6.47,67966.46,Rice,Maharashtra,Pune,South,0,1,1,0,0
118,22,Male,None,9.19,304905.34,Rice,Gujarat,Surat,East,0,0,0,0,0
119,59,Female,Higher,0.84,492395.93,Sugarcane,Maharashtra,Nagpur,North,0,0,0,0,0
120,56,Female,Secondary,2.81,153000.39,Rice,Punjab,Patiala,North,1,1,1,0,1
121,58,Male,Secondary,2.34,425557.05,Rice,Maharashtra,Nashik,East,0,1,0,0,0
122,45,Female,Secondary,5.27,498809.98,Maize,Punjab,Ludhiana,South,0,0,0,0,0
123,24,Male,Primary,4.58,298391.5,Cotton,Karnataka,Bengaluru,West,0,1,0,0,0
124,26,Male,None,7.43,161606.54,Maize,Bihar,Gaya,West,0,1,1,0,0
125,25,Male,None,2.8,340030.32,Rice,Gujarat,Bhavnagar,West,1,1,0,0,0
126,29,Female,None,6.15,423975.62,Maize,Tamil Nadu,Salem,North,0,0,0,0,0
127,51,Male,Higher,8.9,93961.62,Maize,Punjab,Ludhiana,North,0,0,1,0,0
128,50,Male,Secondary,9.15,231732.72,Wheat,Punjab,Patiala,East,1,1,1,0,1
129,65,Male,None,9.61,166401.98,Maize,Karnataka,Mysuru,East,0,1,1,0,0
130,40,Female,Higher,7.85,148845.91,Maize,Gujarat,Bhavnagar,West,1,0,1,0,1
131,41,Male,None,9.11,431802.42,Cotton,Gujarat,Vadodara,West,0,0,0,0,0
132,54,Female,Primary,2.73,216610.46,Sugarcane,Tamil Nadu,Coimbatore,West,0,1,0,0,0
133,52,Female,Secondary,2.38,176147.41,Wheat,Karnataka,Belagavi,North,0,0,1,0,0
134,61,Male,Higher,0.56,305720.17,Wheat,Karnataka,Mysuru,West,1,1,0,0,1
135,57,Female,None,7.22,117506.77,Wheat,Bihar,Gaya,North,0,1,1,0,0
136,39,Female,Secondary,9.41,122647.81,Wheat,Maharashtra,Aurangabad,West,0,1,1,0,0
137,44,Male,Higher,2.28,264941.48,Cotton,Gujarat,Ahmedabad,East,0,0,0,0,0
138,52,Male,Secondary,6.55,210543.64,Sugarcane,Gujarat,Rajkot,East,0,0,0,0,0
139,18,Male,Secondary,7.59,154541.37,Cotton,Tamil Nadu,Coimbatore,North,0,1,0,0,0
140,52,Female,Primary,9.31,36436.05,Wheat,Karnataka,Mysuru,West,0,0,1,0,0
141,54,Male,Secondary,6.65,265179.38,Sugarcane,Maharashtra,Mumbai,West,0,0,0,0,0
142,64,Female,Higher,9.72,410138.51,Cotton,Maharashtra,Nagpur,East,0,0,0,0,0
143,31,Female,Secondary,3.77,427174.83,Sugarcane,Maharashtra,Nagpur,North,0,0,0,0,0
144,20,Female,Higher,3.82,125365.59,Cotton,Gujarat,Ahmedabad,East,0,1,0,0,0
145,18,Female,Secondary,5.66,303824.19,Sugarcane,Maharashtra,Pune,North,0,1,0,0,0
146,22,Female,None,4.14,429381.84,Cotton,Bihar,Bhagalpur,North,0,0,0,0,0
147,43,Male,Primary,0.51,210275.7,Wheat,Bihar,Gaya,East,0,1,0,0,0
148,31,Male,None,7.45,466747.04,Wheat,Karnataka,Belagavi,South,0,1,0,0,0
149,56,Female,Primary,7.64,452459.48,Wheat,Maharashtra,Mumbai,West,0,0,0,0,0
150,44,Female,Higher,7.6,111985.61,Cotton,Karnataka,Mysuru,North,1,0,0,0,1
151,26,Male,Primary,3.78,136892.77,Sugarcane,Punjab,Jalandhar,West,0,0,0,0,0
152,32,Male,Secondary,5.46,98416.58,Sugarcane,Gujarat,Vadodara,West,0,0,0,0,0
153,32,Female,Secondary,3.92,106066.63,Rice,Bihar,Purnia,West,1,0,1,0,1
154,43,Female,None,0.65,454852.42,Maize,Bihar,Purnia,West,0,0,0,0,0
155,59,Male,Primary,5.84,466257.58,Wheat,Gujarat,Vadodara,South,0,0,0,0,0
156,30,Male,Higher,1.68,35429.65,Wheat,Tamil Nadu,Tiruchirappalli,South,1,1,1,1,1
157,68,Female,Higher,1.26,300865.64,Wheat,Punjab,Bathinda,West,0,1,0,0,0
158,49,Male,Secondary,7.68,286473.47,Rice,Bihar,Gaya,East,1,1,1,0,1
159,56,Male,Higher,0.59,201368.35,Rice,Maharashtra,Pune,West,0,0,0,0,0
160,66,Female,Secondary,9.61,319531.82,Rice,Gujarat,Bhavnagar,North,1,0,0,0,1
161,69,Female,Secondary,5.39,474210.23,Wheat,Maharashtra,Mumbai,West,0,0,0,0,0
162,49,Female,Secondary,9.84,93424.89,Sugarcane,Gujarat,Ahmedabad,South,1,0,0,0,1
163,21,Male,None,1.05,69001.35,Wheat,Maharashtra,Pune,North,0,1,1,1,0
164,47,Female,None,6.04,26361.38,Rice,Gujarat,Ahmedabad,North,0,0,1,0,0
165,54,Male,Secondary,3.82,188278.32,Rice,Karnataka,Bengaluru,South,1,0,1,0,1
166,40,Female,Secondary,8.51,175437.95,Maize,Bihar,Gaya,South,0,1,1,0,0
167,56,Female,Secondary,3.93,221101.65,Cotton,Karnataka,Belagavi,North,1,0,0,0,1
168,62,Male,Higher,2.97,256621.92,Maize,Bihar,Purnia,South,0,0,1,0,0
169,32,Male,Secondary,8.65,381333.76,Maize,Tamil Nadu,Tiruchirappalli,South,1,1,0,0,1
170,60,Female,Secondary,4.06,202135.56,Wheat,Karnataka,Belagavi,West,0,1,1,0,0
171,46,Female,Primary,0.66,172000.42,Cotton,Bihar,Bhagalpur,North,1,0,0,0,0
172,53,Male,Primary,4.21,415170.62,Cotton,Tamil Nadu,Salem,South,0,1,0,0,0
173,30,Female,Primary,6.72,426400.37,Wheat,Bihar,Bhagalpur,South,0,0,0,0,0
174,49,Male,Primary,2.92,124055.32,Sugarcane,Punjab,Patiala,North,0,0,0,0,0
175,24,Male,Secondary,4.6,164189.19,Wheat,Gujarat,Bhavnagar,West,1,0,1,0,1
176,68,Female,Primary,1.04,414307.02,Sugarcane,Karnataka,Mysuru,South,1,1,0,0,0
177,39,Male,Higher,6.09,48910.04,Sugarcane,Maharashtra,Mumbai,West,0,0,0,0,0
178,45,Male,Higher,7.68,169664.92,Cotton,Tamil Nadu,Chennai,West,0,0,0,0,0
179,19,Male,Primary,4.43,229691.55,Wheat,Tamil Nadu,Coimbatore,West,0,1,1,0,0
180,59,Female,None,4.49,101665.09,Wheat,Maharashtra,Mumbai,East,0,1,1,0,0
181,62,Male,Higher,1.34,98157.96,Cotton,Tamil Nadu,Chennai,North,0,1,0,1,0
182,23,Female,Higher,2.42,218182.41,Maize,Maharashtra,Nagpur,East,0,0,1,0,0
183,45,Female,Primary,1.97,379715.65,Wheat,Maharashtra,Aurangabad,North,0,0,0,0,0
184,45,Female,Primary,5.08,421714.16,Rice,Bihar,Purnia,West,0,0,0,0,0
185,61,Male,Secondary,5.53,489825.2,Rice,Karnataka,Mysuru,West,0,0,0,0,0
186,61,Male,Higher,9.51,46252.18,Wheat,Punjab,Patiala,West,0,0,1,0,0
187,37,Female,Primary,1.2,116174.28,Sugarcane,Tamil Nadu,Salem,West,0,1,0,1,0
188,47,Female,Primary,6.2,380748.62,Cotton,Bihar,Gaya,West,0,0,0,0,0
189,28,Male,Secondary,5.5,274893.37,Sugarcane,Punjab,Bathinda,East,1,0,0,0,1
190,45,Female,Higher,5.4,170563.09,Rice,Punjab,Ludhiana,West,0,0,1,0,0
191,42,Female,Primary,8.8,110738.93,Rice,Tamil Nadu,Coimbatore,West,0,0,1,0,0
192,56,Male,Secondary,2.45,147434.0,Cotton,Tamil Nadu,Salem,West,1,0,0,0,1
193,50,Female,Primary,0.89,220351.59,Rice,Bihar,Bhagalpur,East,0,0,0,0,0
194,18,Male,None,6.89,96804.1,Maize,Tamil Nadu,Madurai,South,1,1,1,0,0
195,44,Male,None,3.78,482470.72,Rice,Punjab,Ludhiana,North,1,0,0,0,0
196,69,Female,Primary,0.67,62718.34,Sugarcane,Tamil Nadu,Madurai,North,0,1,0,1,0
197,30,Male,Higher,2.89,492932.94,Sugarcane,Gujarat,Bhavnagar,South,1,1,0,0,1
198,58,Male,None,3.44,422527.71,Maize,Gujarat,Rajkot,South,0,0,0,0,0
199,20,Male,Secondary,6.36,217344.29,Sugarcane,Bihar,Purnia,East,0,1,0,0,0
200,56,Female,Primary,2.14,372510.0,Sugarcane,Bihar,Gaya,North,0,0,0,0,0
201,23,Female,Secondary,4.42,339042.47,Sugarcane,Bihar,Purnia,South,0,1,0,0,0
202,25,Female,None,5.08,114510.59,Wheat,Tamil Nadu,Chennai,South,0,0,1,0,0
203,44,Male,Higher,4.86,176144.34,Maize,Karnataka,Mysuru,East,1,1,1,0,1
204,26,Male,Secondary,9.75,261430.06,Maize,Bihar,Purnia,East,0,1,1,0,0
205,54,Female,None,0.93,322543.65,Rice,Karnataka,Hubballi,West,1,0,0,0,0
206,50,Female,None,9.53,276018.54,Maize,Maharashtra,Aurangabad,South,1,0,1,0,0
207,68,Male,None,6.03,241763.86,Cotton,Bihar,Muzaffarpur,East,0,0,0,0,0
208,59,Female,Secondary,8.06,227144.61,Maize,Karnataka,Mysuru,North,0,0,1,0,0
209,61,Female,None,4.59,254149.6,Cotton,Karnataka,Mysuru,East,1,0,0,0,0
210,41,Female,Primary,4.81,222832.24,Sugarcane,Punjab,Amritsar,North,0,1,0,0,0
211,32,Female,None,8.85,275251.74,Cotton,Karnataka,Belagavi,West,1,0,0,0,0
212,49,Female,Primary,9.01,445112.8,Wheat,Punjab,Jalandhar,South,0,0,0,0,0
213,49,Male,Higher,2.77,320086.36,Sugarcane,Gujarat,Surat,South,0,0,0,0,0
214,41,Female,Primary,2.39,364084.23,Cotton,Gujarat,Vadodara,East,0,0,0,0,0
215,58,Female,Higher,5.21,302766.74,Sugarcane,Gujarat,Surat,West,0,1,0,0,0
216,69,Male,Higher,9.05,325078.66,Wheat,Karnataka,Hubballi,South,0,0,0,0,0
217,66,Male,Primary,3.56,293391.42,Sugarcane,Karnataka,Hubballi,East,1,0,0,0,0
218,66,Male,Higher,6.69,23164.6,Sugarcane,Maharashtra,Aurangabad,East,0,0,0,0,0
219,69,Male,Primary,7.23,499803.21,Maize,Karnataka,Mysuru,East,0,0,0,0,0
220,29,Female,Secondary,7.9,26468.53,Rice,Tamil Nadu,Salem,East,0,0,1,0,0
221,56,Female,Higher,5.86,203622.52,Cotton,Tamil Nadu,Madurai,North,0,0,0,0,0
222,19,Female,Primary,4.32,61506.68,Rice,Gujarat,Ahmedabad,West,0,0,1,0,0
223,20,Female,Higher,9.69,57494.94,Wheat,Tamil Nadu,Madurai,North,0,1,1,0,0
224,66,Male,None,6.31,398828.21,Wheat,Maharashtra,Nashik,South,0,0,0,0,0
225,54,Male,Primary,7.42,218703.63,Sugarcane,Karnataka,Belagavi,West,0,0,0,0,0
226,66,Female,None,3.78,402557.97,Rice,Maharashtra,Nashik,East,1,0,0,0,0
227,34,Female,Higher,6.86,143665.37,Cotton,Karnataka,Hubballi,South,1,0,0,0,1
228,66,Female,Higher,2.95,135666.77,Cotton,Punjab,Amritsar,East,0,0,0,0,0
229,19,Female,Secondary,2.83,133103.38,Sugarcane,Maharashtra,Aurangabad,South,0,0,0,0,0
230,19,Male,Primary,7.29,311911.36,Cotton,Gujarat,Ahmedabad,West,0,0,0,0,0
231,45,Female,None,5.45,409349.7,Maize,Tamil Nadu,Chennai,West,0,1,0,0,0
232,40,Male,Secondary,6.99,231607.89,Rice,Tamil Nadu,Chennai,North,0,0,1,0,0
233,54,Male,Higher,3.06,195831.96,Wheat,Tamil Nadu,Coimbatore,West,0,0,1,0,0
234,49,Male,Higher,6.19,487053.98,Cotton,Karnataka,Bengaluru,South,0,0,0,0,0
235,50,Male,Secondary,4.72,67209.48,Cotton,Karnataka,Hubballi,West,0,0,0,0,0
236,18,Female,None,6.17,248450.01,Cotton,Maharashtra,Aurangabad,West,0,1,0,0,0
237,36,Female,Higher,3.26,210159.0,Sugarcane,Gujarat,Rajkot,West,0,0,0,0,0
238,19,Female,Higher,7.3,58082.03,Wheat,Bihar,Bhagalpur,East,0,0,1,0,0
239,61,Female,Primary,8.16,141418.18,Rice,Karnataka,Bengaluru,East,0,1,1,0,0
240,43,Male,Secondary,2.97,23936.19,Cotton,Bihar,Patna,West,0,0,0,0,0
241,49,Male,Higher,3.36,439707.6,Maize,Bihar,Muzaffarpur,South,0,1,0,0,0
242,23,Male,None,6.78,307846.27,Sugarcane,Karnataka,Hubballi,West,1,0,0,0,0
243,49,Female,Primary,7.11,409359.06,Rice,Maharashtra,Aurangabad,South,0,1,0,0,0
244,21,Male,Secondary,7.19,265561.68,Cotton,Gujarat,Surat,West,0,0,0,0,0
245,28,Male,None,6.99,303759.82,Rice,Bihar,Muzaffarpur,East,1,1,0,0,0
246,34,Male,Higher,4.23,353418.69,Sugarcane,Maharashtra,Nashik,South,0,0,0,0,0
247,55,Male,Secondary,4.25,454925.7,Maize,Maharashtra,Aurangabad,North,0,1,0,0,0
248,41,Female,Secondary,2.92,54958.43,Cotton,Gujarat,Surat,East,0,0,0,0,0
249,22,Male,None,1.99,172164.71,Maize,Karnataka,Bengaluru,East,0,1,1,0,0
250,69,Male,Secondary,7.08,357422.83,Sugarcane,Gujarat,Ahmedabad,West,0,1,0,0,0
251,51,Female,None,1.39,479591.78,Maize,Bihar,Purnia,North,0,1,0,0,0
252,23,Female,Higher,9.41,490595.64,Sugarcane,Maharashtra,Nashik,South,0,0,0,0,0
253,39,Female,Primary,8.35,322670.47,Maize,Bihar,Bhagalpur,North,1,0,0,0,0
254,28,Male,None,8.65,104863.25,Rice,Maharashtra,Mumbai,West,0,1,1,0,0
255,65,Male,Primary,9.11,68412.37,Rice,Karnataka,Hubballi,East,1,0,1,0,0
256,33,Male,Secondary,4.38,473561.39,Sugarcane,Maharashtra,Aurangabad,North,0,1,0,0,0
257,50,Male,None,8.54,222624.57,Rice,Karnataka,Mysuru,South,0,1,1,0,0
258,26,Female,Higher,2.0,105459.86,Maize,Karnataka,Mangaluru,South,0,0,1,1,0
259,23,Male,None,0.71,467607.33,Maize,Bihar,Patna,East,1,0,0,0,0
260,33,Male,None,7.96,61216.89,Cotton,Bihar,Purnia,West,0,0,0,0,0
261,46,Female,None,1.21,367489.84,Sugarcane,Gujarat,Surat,East,1,0,0,0,0
262,20,Female,Primary,9.89,316378.88,Rice,Bihar,Gaya,North,0,1,0,0,0
263,37,Female,Primary,6.91,52989.99,Sugarcane,Punjab,Bathinda,West,1,0,0,0,0
264,53,Male,Secondary,7.66,175986.91,Rice,Bihar,Bhagalpur,South,0,0,1,0,0
265,36,Male,Secondary,2.84,83466.04,Cotton,Bihar,Gaya,West,0,1,0,0,0
266,43,Male,Secondary,6.9,306204.31,Maize,Gujarat,Vadodara,West,1,0,0,0,1
267,20,Male,Secondary,0.91,243785.39,Maize,Maharashtra,Pune,North,1,1,0,0,1
268,36,Male,None,8.46,12094.81,Wheat,Gujarat,Ahmedabad,East,1,0,1,0,0
269,37,Female,Primary,2.11,488098.18,Sugarcane,Punjab,Bathinda,North,0,0,0,0,0
270,49,Female,Primary,7.12,181296.48,Rice,Punjab,Bathinda,South,1,0,1,0,0
271,24,Male,Primary,2.63,136520.15,Wheat,Maharashtra,Mumbai,East,0,0,1,0,0
272,69,Male,Primary,1.15,118997.05,Sugarcane,Bihar,Gaya,West,1,1,0,1,0
273,58,Male,Secondary,5.07,87819.79,Rice,Gujarat,Rajkot,North,1,0,1,0,1
274,50,Male,None,2.11,499577.17,Cotton,Tamil Nadu,Salem,West,1,1,0,0,0
275,57,Male,Primary,7.43,154603.64,Sugarcane,Karnataka,Bengaluru,North,0,0,0,0,0
276,56,Female,Higher,2.76,208701.61,Rice,Punjab,Bathinda,South,1,1,1,0,1
277,35,Female,None,3.75,436964.4,Maize,Maharashtra,Aurangabad,South,0,0,0,0,0
278,57,Female,Higher,5.89,324524.88,Sugarcane,Tamil Nadu,Coimbatore,North,1,1,0,0,1
279,18,Male,None,3.21,190660.26,Rice,Karnataka,Belagavi,South,0,0,1,0,0
280,28,Male,None,4.09,450180.93,Maize,Tamil Nadu,Chennai,West,0,0,0,0,0
